INFO:     Started server process [1464]
INFO:     Waiting for application startup.
2026-03-08 12:43:05,850 INFO food_detection_bot Detector initialized provider=yolo model=yolo11n.pt text_provider=tesseract-ocr text_enabled=True text_available=False text_message=tesseract binary not found in PATH
2026-03-08 12:43:05,851 INFO food_detection_bot Dish classifier initialized enabled=True available=False model=food101-efficientnet-b0 message=checkpoint not found: src/models/food101_efficientnet.pt
2026-03-08 12:43:05,851 INFO food_detection_bot Model fingerprint model_id=yolo11n.pt model_weights_path=C:\Users\hrger\Kalorifit\food_detection_bot\yolo11n.pt model_weights_sha256=0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1 model_loaded_at=2026-03-08T11:43:05.824561Z
2026-03-08 12:43:05,852 INFO food_detection_bot Product catalog loaded path=src/data/products.json size=8
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
2026-03-08 13:14:06,442 INFO food_detection_bot detect request_id=5cd8707f-8eeb-41e4-869d-da462b90ba81 bytes=119691 detections=1 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:45,420 INFO food_detection_bot detect request_id=224812b6-befc-4719-8301-cfdfa0ece05b bytes=65571 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:46,080 INFO food_detection_bot detect request_id=bf6eb00f-d73c-45e8-b0c7-1b72f4c2963f bytes=64453 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:46,837 INFO food_detection_bot detect request_id=f88351ca-d403-4c8e-b942-049a6566f7f6 bytes=64202 detections=1 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:47,644 INFO food_detection_bot detect request_id=b995a2cb-58d3-4b56-97b0-4b16d6cfa17f bytes=64110 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:48,128 INFO food_detection_bot detect request_id=213d540c-d33e-4e68-a0ea-3e05cbf08b38 bytes=65103 detections=1 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:48,421 INFO food_detection_bot detect request_id=f45d8c16-a714-4f40-a3db-22670b087b7c bytes=63840 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:48,866 INFO food_detection_bot detect request_id=6923cd8f-3816-4b12-81a4-372d21a7873b bytes=64329 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:49,803 INFO food_detection_bot detect request_id=1667751d-6262-4014-9005-ebb5082b9ae1 bytes=64935 detections=1 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:50,184 INFO food_detection_bot detect request_id=bff4e3dc-7b0a-45a8-aa54-92ec2f7f5e21 bytes=66293 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:09:52,073 INFO food_detection_bot detect request_id=b1386e2d-48a7-42ec-9c31-151df24a41fd bytes=9285 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:10:03,820 INFO food_detection_bot detect request_id=21f490fd-0f1d-4287-b260-2dd221228adf bytes=7688 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:10:16,107 INFO food_detection_bot detect request_id=d084609e-865c-4ea3-acde-f140ec9759ff bytes=7856 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:13:35,110 INFO food_detection_bot detect request_id=e0aedb3e-6710-482e-ba5f-56093a48e5e9 bytes=16805 detections=3 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:14:06,471 INFO food_detection_bot detect request_id=c767227a-eb2e-4801-99c8-7e35a3de7eaa bytes=17187 detections=2 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:14:48,419 INFO food_detection_bot detect request_id=a34a88e5-5691-4d49-ba41-3224b6b299bb bytes=17187 detections=2 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:26:12,823 INFO food_detection_bot detect request_id=68248e04-e8b7-48ea-b6f6-78bb9d37755c bytes=17187 detections=2 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:26:14,175 INFO food_detection_bot detect request_id=7f0728fa-8a88-4351-b58b-fdb000b0aca5 bytes=17187 detections=2 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 16:36:35,608 INFO food_detection_bot detect request_id=3ce263bb-85f6-412b-9b56-dde1d2139c71 bytes=17187 detections=2 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
